City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,gagnoa,37.7172,-25.4335,12.230000000000018,75,47,3.12,PT,1675053542
243,hofn,6.133,-5.9518,22.28000000000003,93,94,0.78,CI,1675053543
244,samarai,64.2533,-15.208,-3.0,64,30,4.99,IS,1675053544
245,barkot,-10.6106,150.6619,29.310000000000002,73,44,3.87,PG,1675053544
246,saldanha,20.5421,82.5545,28.260000000000048,35,8,2.17,IN,1675053545
247,urumqi,-32.9978,17.9456,19.150000000000034,66,0,3.17,ZA,1675053546
248,hami,43.4198,87.3195,-6.009999999999991,53,48,1.17,CN,1675053382
249,minot,42.8174,93.5142,-3.9899999999999523,27,26,0.36,CN,1675053548
250,dakoro,47.6699,4.8786,-6.349999999999966,85,88,2.93,FR,1675053548
251,mys shmidta,14.5095,6.7645,18.920000000000016,9,97,4.64,NE,1675053549
252,mutsamudu,68.8929,-179.4131,-14.939999999999998,96,92,2.86,RU,1675053550
253,chapais,-12.1688,44.3943,26.840000000000032,77,12,1.37,KM,1675053550
254,margate,49.783,-74.8573,-31.139999999999986,100,33,1.32,CA,1675053551
255,zharkent,51.3878,1.382,7.770000000000039,84,80,2.68,GB,1675053552
256,butaritari,44.1657,80.0027,-4.769999999999982,72,90,0.69,KZ,1675053553
257,izumo,2.9205,172.9189,27.32000000000005,79,4,9.01,KI,1675053554
258,mount gambier,35.3669,132.7549,4.970000000000027,93,75,7.2,JP,1675053555
259,west lorne,-37.8247,140.782,21.620000000000005,43,100,4.31,AU,1675053556
260,ocos,42.6048,-81.6059,-6.310000000000002,87,55,3.15,CA,1675053557
261,port keats,14.5104,-92.1943,22.150000000000034,71,6,2.83,GT,1675053558
262,sioux lookout,-14.2413,129.5209,30.430000000000007,68,100,1.82,AU,1675053558
263,metlika,50.1135,-92.1962,-24.859999999999985,96,99,2.25,CA,1675053559
264,kaeo,45.6501,15.3174,-0.8999999999999773,96,44,1.03,SI,1675053560
265,les cayes,-35.1017,173.7751,21.360000000000014,95,100,5.97,NZ,1675053561
266,moranbah,18.1944,-73.7512,22.78000000000003,66,12,2.35,HT,1675053562
267,gushikawa,-22.003,148.0433,32.64000000000004,34,36,4.13,AU,1675053563
268,collie,26.3589,127.8676,16.810000000000002,42,75,5.14,JP,1675053563
269,mocuba,-33.3591,116.1536,38.09000000000003,17,61,0.39,AU,1675053564
270,mackay,-16.8392,36.9856,25.07000000000005,91,84,1.24,MZ,1675053565
271,matara,-21.142,149.1865,31.470000000000027,67,73,3.54,AU,1675053566
272,pemangkat,5.9478,80.5483,28.180000000000007,58,84,0.99,LK,1675053566
273,tucuma,1.1561,108.9713,25.33000000000004,82,100,4.37,ID,1675053567
274,aklavik,-6.7517,-51.1508,20.710000000000036,97,81,1.32,BR,1675053568
275,boa vista,68.2183,-135.0136,-21.99999999999997,84,40,2.06,CA,1675053569
276,arkhara,2.8208,-60.672,23.99000000000001,73,0,2.06,BR,1675053569
277,ilheus,49.4224,130.0858,-23.599999999999966,92,78,1.79,RU,1675053570
278,san cristobal,-14.7926,-39.0454,22.220000000000027,90,27,0.19,BR,1675053571
279,souillac,7.7757,-72.2214,17.930000000000007,80,58,0.73,VE,1675053572
280,patratu,44.898,1.4694,-3.829999999999984,95,43,0.31,FR,1675053572
281,thompson,23.665,85.3035,23.760000000000048,13,12,0.37,IN,1675053573
282,rafraf,55.7433,-97.8635,-32.89999999999998,75,0,0.0,CA,1675053574
283,chuy,37.1908,10.1816,7.170000000000016,77,41,4.29,TN,1675053575
284,rockport,-33.6938,-53.4561,20.79000000000002,87,37,3.5,BR,1675053576
285,mixtequilla,28.0206,-97.0544,22.010000000000048,94,100,0.45,US,1675053576
286,tomari,19.3861,-88.2644,20.760000000000048,99,7,1.1,MX,1675053577
287,kosino,47.7612,142.0635,-10.629999999999995,81,48,3.39,RU,1675053578
288,poum,55.7165,37.859,-2.669999999999959,94,91,4.41,RU,1675053579
289,port hedland,-20.2317,164.0299,26.340000000000032,73,5,7.72,NC,1675053579
290,biloxi,-20.3112,118.5801,33.02000000000004,66,56,2.57,AU,1675053580
291,grindavik,30.4008,-88.8894,17.03000000000003,98,100,2.06,US,1675053581
292,avera,63.8442,-22.4317,-0.8199999999999932,69,75,4.63,IS,1675053582
293,wa,43.3896,-0.1768,1.32000000000005,93,100,0.0,FR,1675053583
294,schneeberg,10.0623,-2.5054,21.700000000000045,13,28,2.86,GH,1675053583
295,alto longa,50.5951,12.6417,-0.9699999999999704,100,100,8.06,DE,1675053584
296,bac lieu,-5.2549,-42.2072,24.480000000000018,74,91,1.29,BR,1675053585
